name,algorithm,k,silhouette_score,chi
kotek-14.png,kmedoids,7,0.41410947161931483,25872.821318068316
kotek-14.png,kmedoids,8,0.4179687711969839,26789.63595137584
kotek-14.png,kmedoids,9,0.43303199770918327,26957.33903699043
kotek-14.png,kmedoids,10,0.4188836725960102,26421.72965903767
kotek-14.png,kmedoids,11,0.40777376037309826,26014.89811428752
kotek-14.png,kmedoids,12,0.39094242773545995,25073.41607525839
kotek-14.png,kmedoids,13,0.389011677094163,24626.932568063814
kotek-14.png,kmedoids,14,0.3900707126185473,23817.607366433156
kotek-14.png,kmedoids,15,0.38989898396477124,24466.034090134057
kotek-14.png,kmedoids,16,0.38337686881972377,24184.18954471086
kotek-14.png,kmedoids,17,0.3707359002632192,23706.056096089473
kotek-14.png,kmedoids,18,0.36302772900188685,23459.698336652124
kotek-14.png,kmedoids,19,0.3567549810532257,22907.942326143595
kotek-14.png,kmedoids,20,0.35456874313694414,22853.674682477016
kotek-15.png,kmeans,5,0.37941014043709,10502.189619939067
kotek-15.png,kmeans,6,0.39513187818611933,10647.059619214606
kotek-15.png,kmeans,7,0.37425394886002905,10342.453314317241
kotek-15.png,kmeans,8,0.3867025093841014,10360.626124130951
kotek-15.png,kmeans,9,0.36403437365884284,10334.195244388964
kotek-15.png,kmeans,10,0.3701676079782386,10857.509215187574
kotek-15.png,kmeans,11,0.3796246053846959,11119.27396334481
kotek-15.png,kmeans,12,0.37074374345212774,11003.171031125923
kotek-15.png,kmeans,13,0.3677513750283996,11125.470235157216
kotek-15.png,kmeans,14,0.3568163610765244,11235.525546264213
kotek-15.png,kmeans,15,0.34296059242669713,10946.363772458233
kotek-15.png,kmeans,16,0.338808035032552,10833.671711291583
kotek-15.png,kmeans,17,0.3361980125238004,10752.419670957195
kotek-15.png,kmeans,18,0.3339959521769509,10626.002861372763
kotek-15.png,kmeans,19,0.3296634801235025,10621.290115369335
kotek-15.png,kmeans,20,0.3254661160472349,10474.691547604787
kotek-15.png,kmedoids,5,0.36000235994835866,9407.556098643307
kotek-15.png,kmedoids,6,0.3527199570942364,8969.825797465504
kotek-15.png,kmedoids,7,0.35244601487262794,9715.626216877472
kotek-15.png,kmedoids,8,0.3393713769269221,9353.459284751782
kotek-15.png,kmedoids,9,0.34064804776523644,9282.846526360549
kotek-15.png,kmedoids,10,0.3562040426838008,9966.520722667618
kotek-15.png,kmedoids,11,0.34213658373617495,9646.720762991094
kotek-15.png,kmedoids,12,0.3315036931010374,9754.358526741029
kotek-15.png,kmedoids,13,0.3318743008188596,10165.796306393671
kotek-15.png,kmedoids,14,0.3271317367924797,10639.04217528401
kotek-15.png,kmedoids,15,0.3285057502922357,10332.756213126977
kotek-15.png,kmedoids,16,0.3226907158668529,10052.509694754768
kotek-15.png,kmedoids,17,0.31311146592557926,9917.84325688831
kotek-15.png,kmedoids,18,0.3133504993316095,9588.048272306498
kotek-15.png,kmedoids,19,0.3125449126858758,9539.792392483243
kotek-15.png,kmedoids,20,0.3103035757035155,9803.563699680908
kotek-16.png,kmeans,5,0.48527272226946794,18283.057823437972
